pair	timestamp	bid	ask	last_trade	rolling_24_hour_volume	status
XRPZAR	1656138303889	5.95000000	5.96000000	5.93000000	4407002.00000000	ACTIVE
XRPZAR	1656140176037	5.96000000	5.97000000	5.97000000	4369097.00000000	ACTIVE
XRPZAR	1656142049341	6.01000000	6.02000000	6.02000000	4345935.00000000	ACTIVE
XRPZAR	1656143924734	6.01000000	6.02000000	6.03000000	4202545.00000000	ACTIVE
XRPZAR	1656145798636	5.98000000	5.99000000	5.99000000	4070274.00000000	ACTIVE
XRPZAR	1656147671029	5.98000000	6.00000000	5.99000000	3814111.00000000	ACTIVE
XRPZAR	1656149543466	6.00000000	6.02000000	6.02000000	3541548.00000000	ACTIVE
XRPZAR	1656151418383	5.99000000	6.00000000	5.99000000	3246692.00000000	ACTIVE
XRPZAR	1656153292214	5.97000000	5.98000000	5.98000000	3260915.00000000	ACTIVE
XRPZAR	1656155167048	5.98000000	5.99000000	5.99000000	3254115.00000000	ACTIVE
XRPZAR	1656157041809	5.96000000	5.97000000	5.97000000	3165218.00000000	ACTIVE
XRPZAR	1656158917280	5.96000000	5.97000000	5.97000000	3113196.00000000	ACTIVE
XRPZAR	1656160791229	5.81000000	5.82000000	5.82000000	3234921.00000000	ACTIVE
XRPZAR	1656162664447	5.83000000	5.84000000	5.83000000	3327960.00000000	ACTIVE
XRPZAR	1656164539427	5.87000000	5.88000000	5.88000000	3400627.00000000	ACTIVE
XRPZAR	1656166413466	5.84000000	5.86000000	5.84000000	3325672.00000000	ACTIVE
XRPZAR	1656168288424	5.82000000	5.83000000	5.82000000	3341579.00000000	ACTIVE
XRPZAR	1656170162972	5.83000000	5.84000000	5.83000000	3285405.00000000	ACTIVE
XRPZAR	1656172040175	5.79000000	5.80000000	5.80000000	3242186.00000000	ACTIVE
XRPZAR	1656173916253	5.75000000	5.76000000	5.76000000	3279954.00000000	ACTIVE
XRPZAR	1656175791258	5.75000000	5.76000000	5.76000000	3199251.00000000	ACTIVE
XRPZAR	1656177667916	5.76000000	5.77000000	5.76000000	3054312.00000000	ACTIVE
XRPZAR	1656179543911	5.78000000	5.79000000	5.79000000	2965531.00000000	ACTIVE
XRPZAR	1656181424368	5.76000000	5.78000000	5.78000000	2803279.00000000	ACTIVE
XRPZAR	1656183306866	5.78000000	5.79000000	5.79000000	2570001.00000000	ACTIVE
XRPZAR	1656185187206	5.82000000	5.83000000	5.83000000	2522896.00000000	ACTIVE
XRPZAR	1656187065661	5.81000000	5.82000000	5.81000000	2464064.00000000	ACTIVE
XRPZAR	1656188944261	5.81000000	5.82000000	5.81000000	2353077.00000000	ACTIVE
XRPZAR	1656190822888	5.82000000	5.83000000	5.83000000	2367937.00000000	ACTIVE
XRPZAR	1656192703926	5.90000000	5.91000000	5.91000000	2426277.00000000	ACTIVE
XRPZAR	1656194584290	5.94000000	5.95000000	5.94000000	2400120.00000000	ACTIVE
XRPZAR	1656196465728	5.91000000	5.92000000	5.91000000	2422723.00000000	ACTIVE
XRPZAR	1656198347389	5.90000000	5.93000000	5.94000000	2381431.00000000	ACTIVE
XRPZAR	1656200228864	5.93000000	5.94000000	5.93000000	2359787.00000000	ACTIVE
XRPZAR	1656202108598	5.93000000	5.94000000	5.94000000	2351350.00000000	ACTIVE
XRPZAR	1656203990497	5.90000000	5.91000000	5.91000000	2317353.00000000	ACTIVE
XRPZAR	1656205870832	5.93000000	5.94000000	5.95000000	2310524.00000000	ACTIVE
XRPZAR	1656207751897	5.86000000	5.88000000	5.88000000	2305574.00000000	ACTIVE
XRPZAR	1656209635050	5.88000000	5.89000000	5.89000000	2301554.00000000	ACTIVE
XRPZAR	1656211519216	5.89000000	5.90000000	5.89000000	2326053.00000000	ACTIVE
